"AUC","TSS","Kappa","Sens","Spec","PCC","D2","thresh","true_prevalence","n_test","niche_breadth","model_type"
0.947036931818182,0.737477272727273,0.599071364614007,0.991477272727273,0.746,0.80991124260355,0.460639863479682,0.260355029585799,0.260355029585799,1352,"narrow","GLM"
0.85524644549763,0.563260663507109,0.311912857140982,0.995260663507109,0.568,0.642444260941371,0.102993415235156,0.174236168455822,0.174236168455822,1211,"low_mid","GLM"
0.699229074889868,0.243202643171806,0.194782467566834,0.502202643171806,0.741,0.696821515892421,-0.553078378749206,0.185004074979625,0.185004074979625,1227,"high_mid","GLM"
0.691328244274809,0.319503816793893,0.250939787640968,0.614503816793893,0.705,0.68621236133122,-0.502454641428717,0.207606973058637,0.207606973058637,1262,"broad","GLM"
0.968923295454545,0.782227272727273,0.785843940864205,0.835227272727273,0.947,0.917899408284024,0.532887817036741,0.260355029585799,0.260355029585799,1352,"narrow","Maxent"
0.949218009478673,0.694729857819905,0.638612189952579,0.786729857819905,0.908,0.886870355078448,0.486508098161488,0.174236168455822,0.174236168455822,1211,"low_mid","Maxent"
0.885977973568282,0.428039647577092,0.428769689360961,0.533039647577093,0.895,0.828035859820701,0.19884839259363,0.185004074979625,0.185004074979625,1227,"high_mid","Maxent"
0.773916030534351,0.421618320610687,0.415762731002296,0.549618320610687,0.872,0.805071315372425,-0.0511198653890721,0.207606973058637,0.207606973058637,1262,"broad","Maxent"
0.974747159090909,0.771386363636364,0.769968920850253,0.832386363636364,0.939,0.911242603550296,0.651956570486429,0.260355029585799,0.260355029585799,1352,"narrow","BRT"
0.90463981042654,0.63803317535545,0.559567724840235,0.76303317535545,0.875,0.855491329479769,0.338011433830191,0.174236168455822,0.174236168455822,1211,"low_mid","BRT"
0.842666666666667,0.353684210526316,0.353684210526316,0.473684210526316,0.88,0.804560260586319,0.144238022131497,0.185667752442997,0.185667752442997,1228,"high_mid","BRT"
0.763574144486692,0.402528517110266,0.388379967789391,0.547528517110266,0.855,0.790973871733967,0.0404923502035597,0.208234362628662,0.208234362628662,1263,"broad","BRT"
0.972539772727273,0.756977272727273,0.772622886172261,0.803977272727273,0.953,0.914201183431953,0.563348490085403,0.260355029585799,0.260355029585799,1352,"narrow","RF"
0.9200663507109,0.657990521327014,0.574245877297112,0.781990521327014,0.876,0.85962014863749,0.370948565977596,0.174236168455822,0.174236168455822,1211,"low_mid","RF"
0.807973684210526,0.317754385964912,0.312985475690574,0.451754385964912,0.866,0.789087947882736,0.0793053895984542,0.185667752442997,0.185667752442997,1228,"high_mid","RF"
0.75051711026616,0.402330798479087,0.385582867356476,0.551330798479088,0.851,0.788598574821853,0.0307692797937891,0.208234362628662,0.208234362628662,1263,"broad","RF"
